,role_or_degree,education_code
1237,master of science in psychology,2858
1239,"bachelor's degree, bachelor of science",1561
1240,"bachelor of science (b.s.), information systems specializing in service management",770
1242,2002 - 2009,95
1244,"business administration, computer application",2198
1245,"bachelor's degree, marketing/marketing management, general",1691
1246,"bachelor of science business administration, marketing management",1088
1249,"bachelor's degree, business administration",1594
1253,bs tourism,2079
1255,"bs mathematics major in computer science, computer science",2050
1256,"diploma in supply chain management, logistics, materials, and supply chain management",2367
1257,"bachelor’s degree, mechanical engineering",1852
1258,"bachelor of science major in instrumentation and control engineering, process control",1417
1259,"bs electronics and communication engineering, engineering",1979
1260,mechanical engineering,2972
1261,"bachelor of science in management and accountancy, accounting and finance",1359
1265,"bachelor of science (bs), information management",883
1267,"master of engineering - meng, computer engineering",2804
1270,master of science in industrial engineering and management,2849
1273,"bachelor's degree, accounting and finance",1545
1274,"bachelor in banking and finance, banking and finance",369
1275,"bachelor of science in tourism management, tourism and travel services management",1403
1277,"bs, computer engineering",2090
1279,"bachelor of science, business management and entrepreneurship",1441
1282,diploma in computer science,2351
1283,"bachelor of engineering, electrical, electronics and communications engineering",686
1285,"master of business administration - mba (candidate), business administration and management, general",2779
1286,"bachelor's degree in computer science major in software technology, computer science",1525
1287,six sigma greenbelt training,3151
1288,"bs, industrial engineering",2102
1290,"bachelor's degree, applied mathematics",1553
1291,"bachelor of engineering - be, civil engineering",678
1294,"diploma of education, junior high/intermediate/middle school education and teaching",2373
1296,"bachelor of science - bs, mechanical engineering",1057
1297,"bachelor's degree, bachelor of science in information technology",1570
1298,"bachelor of science in electronics and communication engineering, electronics and telecommunications engineering",1284
1299,"bs, information",2103
1300,"u.s. dept. of state young southeast asian leaders intiative, global environmental issues and natural resource management",3182
1301,"training programme, data scientist",3179
1302,"bachelor of science - bs, evironmental and sanitary engineering",1010
1304,"bachelor of science in aeronautical engineering, aeronautics/aviation/aerospace science and technology, general",1118
1308,2008 - 2012,125
1310,"commerce, business administration",2291
1317,"bachelor of business administration - bba, bachelor of science in business administration major in financial management",588
1319,"na, gradeschool to highscool general knowledge",2997
1321,"bachelor of science in business administration, financial management",1180
1325,1999 - 2006,74
1328,"bachelor of science in accountancy, finance and operations",1111
1329,"bs, electronics and communications engineering",2097
1333,"bachelor of engineering - be, industrial engineering",682
1334,"bachelor of science in accountancy, accountacy",1101
1335,"bachelor of science in accountancy, bachelor of science in accountancy",1110
1338,master in information systems,2719
1341,"bachelor's degree, avionics maintenance technology/technician",1556
1342,"engineer’s degree, industrial engineering",2449
1343,"bachelor of science, instrumentation and control engineering",1470
1346,"bachelor of engineering - be, electrical, electronics and communications engineering",681
1347,bs industrial engineering,2017
1351,"master's degree, marine engineering",2897
1352,professional science master's degree in data science,3078
1354,project management,3081
1355,"bachelor's degree, business administration major in human resource development management",1600
1356,"computer science, data entry/microcomputer applications",2315
1357,"bachelor of science in business administration (bsba), human resource development management",1136
1358,2nd honorable mention,157
1360,1994 - 2007,50
1361,"b1, spanish",330
1363,"master of arts - ma, industrial and organizational psychology",2733
1364,"bachelor of arts (b.a.), philosophy",442
1365,"bachelor's degree, economics and public policy",1634
1366,"bachelor's degree, intrumentation and control engineering",1675
1367,"diploma of education, instrumentation technology/technician",2372
1369,"bachelor of science in information system, computer/information technology administration and management",1327
1370,"master of business administration (m.b.a.), business administration and management, general",2755
1371,"bachelor of science (b.s.), tourism and travel services management",805
1373,"bachelor’s degree, information and communications technology",1836
1378,"engineering, electronics and communications",2444
1385,"bachelor of business administration -, business/managerial economics",619
1386,"bachelor of science, electronics and communications engineering",1460
1392,"masters in industrial relations, human resources management",2927
1393,"diploma in industrial relations, human resource management",2358
1394,"bachelor of arts (ba), philosophy",467
1396,"bachelor of engineering - be, electrical and electronics engineering",680
1397,"bsed, chemistry",2183
1399,"bachelor’s degree, industrial and organizational psychology",1832
1400,"bachelor of business administration (b.b.a.), marketing/marketing management, general",568
1407,"bachelor's degree, cooperative financial management and accounting",1630
1408,ab philosophy,193
1409,"certificate, lean six sigma green belt",2253
1410,"certificate, college teaching",2249
1411,"bachelor of science in chemical engineering, chemical engineering",1221
1413,"senior high school graduate, senior high school ",3135
1415,"bachelor of secondary education in english, secondary education and teaching",1501
1420,"electronics and communications, engineering",2418
1421,"diploma in industrial relations, hrd at the national level",2357
1422,"bachelor’s degree, in business administration major in human resource development management",1831
1427,"bachelor of science in electronics and comunication engineering, electrical, electronics and communications engineering",1292
1428,"bachelor's degree, electroniocs and communication engineering",1646
1429,bs mechanical engineering,2052
1430,"bsba, marketing",2154
1434,"bachelor of business administration, accounting technology/technician and bookkeeping",623
1437,"bachelor of science major in computer engineering, computer engineering",1412
1441,"bachelor of science (bs), business administration, entrepreneurship",846
1442,1995 - 1998,51
1445,"bachelor in science and business administration, major in financial management",390
1446,2010 - 2012,130
1447,"bachelor of science - bs, computer software engineering",992
1448,"bs engineering major in industrial engineering, quality management system",1985
1449,"bachelor of science, in computer engineering",1464
1450,1995 - 1999,52
1451,"bachelor's degree, multimedia arts",1697
1454,financial managament,2472
1455,"master of science (m.s.), engineering/industrial management",2820
1459,"vocational, office management",3204
1460,"banking and finance, banking and finance",1878
1462,"bachelor's degree in mathematics, business application",1532
1463,"bachelor of science in business administration, microfinace and accounting",1209
1464,masters of business administrative (on leave),2934
1465,"bachelor of laws (ll.b.), philippine laws",700
1466,ab political science,196
1467,"b2 - level 7 and 8, spanish language, lengua y literatura española",331
1468,"b1 - level 1 to 6, spanish language, spanish language and literature",329
1475,"bachelors, computer science",1754
1478,"certificate in teaching program, secondary education and teaching",2242
1483,"ab-psychology, psychology",211
1484,"ms industrial psychology, completed 36 units, psychology",2992
1486,"bs business administration, operations & supply chain management",1933
1488,"bachelor of science in instrumentation & control engineering, engineering",1353
1490,elementary school diploma,2436
1492,"bscs-cs, computer science",2174
1494,"accounting technology, accounting",228
1496,"bachelor of applied science - basc, electrical, electronics and communications engineering",405
1497,science technology engineering and mathematics (stem),3102
1498,"bachelor's degree, industrial psychology",1671
1506,"associate's degree, computer science",264
1507,"bachelor of science in computer science, computer programming/programmer, general",1261
1510,"bachelor of science (b.s.), business management",734
1511,"bachelor of science (bs) in electronics engineering, communications",822
1515,"master's, industrial engineering and manageme",2910
1517,"bsba major in human resource development management, human resources management/personnel administration, general",2136
1518,"diploma in supply chain management, major in logistics",2368
1521,"bachelor’s degree, finance and financial management services",1826
1522,"bachelor of science in computer network administration, networking",1254
1525,special education,3158
1526,accountancy,214
1527,amazon store manager (virtual assistant),245
1531,"master's degree, msece major in control systems",2903
1533,electrical technology,2407
1543,"bachelor of science in electronics and communications engineerig, bs ece",1286
1545,"bachelor's degree , accounting technology",1522
1546,"bsece, electronics, communications engineering",2182
1547,"bs ece, ece",1967
1549,"bachelor of science in business administration major in marketing management, business administration and management, general",1163
1550,"bachelor of business administration - bba, marketing/marketing management, general",612
1552,bs instrumentation and control engineering,2030
1555,1999 - 2004,72
1557,"bachelor of science - bs, entrepreneurship/entrepreneurial studies",1009
1559,"bachelor of arts (ba), management economics",462
1565,"bachelor of business administration - bba, accounting and finance",587
1566,"bachelor, accountancy",1729
1567,bsba-financial management,2156
1568,"bachelor of science in electronics and communications engineering, electrical, electronics and communications engineering",1288
1570,"bachelor of science, electronics and communications",1459
1571,"bsba marketing, marketing",2142
1572,regis master of business administration (mba),3094
1573,"bachelor’s degree, psychology",1866
1575,"bachelor in banking and finance, banking and financial support services",370
1576,"master's degree, environmental management",2890
1578,"certification, civic ecology mocc",2260
1579,"ba organizational communication, communication, marketing, public relations",340
1580,"bachelor's degree, bachelor of science in computer science",1565
1583,"bachelor's degree, agricultural business and management",1550
1585,1972 - 1982,5
1588,"bachelor of engineering (b.e.), bsme, engineering",661
1589,"high school, high school/secondary diplomas and certificates",2546
1591,2008 - 2008,122
1595,"bachelor of science in electronics engineering, instrumentation technology/technician",1299
1598,"high school diploma, machining",2528
1601,"bachelor of engineering, electrical and electronics engineering",685
1604,"diploma in supply chain, logistics, materials, and supply chain management",2370
1605,"diploma in supply chain management, major in purchasing",2369
1606,"master in business administration, business administration and management, general",2714
1607,"bachelor of science, business administration major in financial management",1435
1609,"master in information systems, business management, operations and information technology",2720
1610,"master in information technology, information technology",2721
1611,"bs computer science, computer science",1959
1612,"computer programming, programming",2309
1613,"bs. psychology, neuropsychology",2119
1618,"bachelor’s degree, bs nursing",1793
1623,"bachelor of science, chemical engineering",1443
1624,science technology and engineering program,3100
1626,"bachelor of science, computer science",1449
1628,"bachelor of science (bs), computer software engineering",862
1630,"master, management eng",2911
1633,"bachelor of science , entrepreneurship/entrepreneurial studies",925
1635,"bachelor of arts - ba, literature",492
1639,"diploma, tourism and travel services management",2383
1640,"vocational, barista training workshop",3202
1641,"bachelor's degree, tourism and travel services management",1723
1643,"bachelor’s degree, business administration and management, general",1800
1648,"k12-track, communication arts",2639
1649,"management accounting, accounting",2677
1650,"bachelor of science (b.s.), electronics and communications engineering",755
1651,"bachelor of science - bs, accounting and finance",945
1653,"bachelor of arts (b.a.), management economics, minor in marketing",437
1654,"credential of readiness (core) - business analytics, economics for managers, financial accounting",2329
1658,"bachelor of science - bs, accounting technology",947
1662,"bachelor of business administration - bba, marketing management",611
1664,doctor of communication,2387
1665,"ma, demography",2667
1666,"ba, communication research",348
1671,"bachelor of science in business administration major in business management , business administration and management, general",1148
1672,executive leadership program,2462
1673,"bachelor of science in nursing, nursing administration",1380
1678,1990 - 1996,31
1681,"bachelor of science in computer science, computer engineering",1259
1684,"bachelor’s degree, computer engineering",1817
1686,"bachelor’s degree, accounttancy",1768
1688,1991 - 1995,34
1689,"bsit, computer and information systems security/information assurance",2189
1690,"bachelor of science in business administration, business administration and management, general",1172
1691,"bachelor's degree, accounting technology and bookkeeping",1547
1693,"bs in industrial engineering, motion time study, lean manufacturing",2011
1694,"bs in industrial engineering, lean manufacturing, mtm-1 basic, kaizen",2010
1695,"master's in business administration, master's in business administration",2908
1696,"bachelor in business administration, major in marketing",375
1697,"business continuity lead implementer iso 22301 certified, business continuity",2202
1699,"bachelor of laws - llb, law",701
1706,"bachelor of science (b.s.), mathematics",787
1713,"human capital development, business, education, & psychology",2574
1717,2006 - 2009,112
1719,"secondary, engineering and science education program",3125
1720,industrial engineering,2585
1724,"bachelor of science and business administration, human resource development management",1082
1725,"master of business administration - mba, mba standard program",2795
1728,"bscs, system engineering",2172
1730,"bachelor of business administration - bba, human resources management/personnel administration, general",606
1731,"bachelor’s degree, accountancy",1765
1732,"bachelor of science in industrial psychology, industrial and organizational psychology",1322
1733,campus journalism,2214
1735,"bachelor of science - bs, hospitality and restaurant management",1015
1739,1990 - 2002,33
1742,chief finance officer leadership development program,2272
1743,"executive diploma, supply chain management",2459
1744,"master in business administration - top executive program, business administration, management and operations",2713
1747,"bachelor of science (b.s.), computer science - information technology",743
1748,1986 - 1997,20
1749,"bachelor's degree, english language and literature/letters",1648
1752,"bachelor of industrial technology, computer engineering technology",691
1761,"bs business administration, major in accounting",1931
1762,"bachelor’s degree, bachelor of science in business administration major in human resource development management",1780
1763,"bachelor of science in hospitality management, culinary arts/chef training",1312
1769,"bachelor of science in business administration - bsba, human resources development management",1143
1774,elementary education,2433
1776,"bs marketing management, business administration and management, general",2045
1779,"bachelor of arts - ba, communication arts",479
1780,"bachelor of science in psychology and bachelor of arts in guidance and counseling, psychology",1392
1781,"bachelor of arts (b.a.), marketing management",438
1783,certificate course in industrial relations and human resource management,2221
1784,"bachelor's degree, human resources development",1661
1787,taiwan student exchange program,3166
1788,"bachelor of science major in finance and treasury management, financial planning and services",1415
1789,"bs-hrim, hotel, motel, and restaurant management",2113
1792,"bachelor of science (bs), applied economics",834
1793,"bachelor of science (bs), management of financial institutions",896
1794,"master of business administration (m.b.a.), business administration and management",2754
1795,"bachelor of science in electronics and communications engineering, electronics and communications engineering",1290
1796,"industrial relations, human resources",2589
1797,"bs psychology/ab guidance counseling, human resources",2075
1798,internal auditing,2607
1799,"bachelor of science (bs), business administration and management",841
1802,"bachelor of science in mass communication, mass communication/media studies",1366
1804,"high school diploma, science, technology, engineering, and mathematics",2532
1805,junior high school,2631
1806,"bachelor of arts - ba, sociology",504
1807,1999 - 2012,77
1808,"bachelor of arts (b.a.), legal management",433
1810,hotel,2568
1813,2016 - 2020,153
1815,"bachelor’s degree, major in marketing and advertising",1843
1821,"bachelor of business administration - bba, internal audit",607
1823,"bachelor of science (bs), business engineering",850
1824,"mitx micromasters program certificate, supply chain management",2984
1826,"high school, secondary education",2551
1827,"bachelor, petroleum engineering",1738
1828,high school level,2540
1831,"bachelor of science (bs), management",891
1833,"bachelor's degree, bachelor of science in electronics and communications engineering",1566
1834,"bachelor of science, commerce; marketing management",1447
1835,"bachelor of science (bs), marketing/marketing management, general",900
1837,"bachelor of engineering (beng), industrial engineering",677
1838,"bachelor's degree, human resources management",1663
1839,"financial management, finance and financial management services",2475
1840,"bachelor of mass communication, public relations",704
1842,2003 - 2010,99
1844,"master of science (m.s.), chemical engineering",2819
1848,"bachelor of arts (ba), international studies major in american studies",457
1852,"aircraft maintenance technology, airframe mechanics and aircraft maintenance technology/technician",243
1857,"bachelor of science in business administration, banking and finance",1170
1858,"master of science in marketing (msm), marketing/marketing management, general",2854
1859,"bs business administration, business administration and management, general",1929
1862,"bachelor of science - bs, tourism",1071
1863,"bachelor of science - bs, tourism management",1073
1864,"bachelor of science, educational psychology",1453
1866,"bachelor of science (bs) and ab, psychology",814
1869,2000 - 2006,83
1870,"b.s. accountancy, accounting and finance",298
1871,"bachelor of science in accountancy (bsa), accounting and finance",1098
1877,"bachelor of business administration - bba, finance and treasury management",599
1879,"bs information technology, major in network administration",2029
1881,"die and mold, die and mold",2340
1882,"b. s. in accountancy, accounting and finance",285
1884,"bs, finance and financial management services",2099
1885,"supply chain management, major in purchasing and logistics operations",3165
1886,"bachelor of engineering (b.e.), chemical engineering",662
1888,"bachelor's degree, operations management",1705
1889,"bachelor of business administration (b.b.a.), human resource development management",563
1893,"bachelor in banking and finance, banking, finance",371
1895,"bachelor of science (bs), registered nursing/registered nurse",912
1898,"bachelor of science in management accounting, accounting and business/management",1356
1899,"bachelor of science in forensic accounting, financial forensics and fraud investigation",1310
1900,"bachelor of science in accounting technology, accounting technology/technician and bookkeeping",1117
1901,"bachelor of science (b.s.), electrical engineering",751
1902,high school - diploma,2515
1904,"units earned master of business administration (mba), business/commerce, general",3190
1905,"bachelor of science in commerce (bsc), marketing",1227
1906,bsba - human resource development management,2124
1910,"bachelor's degree, human resources management/corporate management",1665
1911,"cips level 6 professional diploma in procurement and supply, purchasing, procurement/acquisitions and contracts management",2277
1912,"cips level 5 advanced diploma in procurement and supply, purchasing, procurement/acquisitions and contracts management",2276
1913,"cips level 4 diploma in procurement and supply, purchasing, procurement/acquisitions and contracts management",2275
1914,"bachelor’s degree, business administration",1798
1915,"bachelor of science - bs, bs marine engineering",965
1921,"bachelor of science - bs, financial management",1012
1922,"español a1.1, spanish language and literature",2454
1923,"marugoto a2-1 (katsudō & rikai) self-study course, japanese language and literature",2701
1924,"marugoto a1-2 (katsudō & rikai) self-study course, japanese language and literature",2700
1925,"marugoto a1-1 (katsudō & rikai) self-study course, japanese language and literature",2699
1926,"beginner's japanese 1, japanese language and literature",1885
1927,"bs, business administration",2085
1928,"bs, forestry",2101
1929,"high school, special science curriculum",2553
1930,"ab english, major in english",180
1931,"paralegal training program, legal assistant/paralegal",3018
1936,"accountancy, accounting and business/management",216
1937,"master of science (m.s.), management engineering",2823
1939,"bachelor of arts (ba), social sciences major in economics",470
1941,"master of civil engineering, geotechnical and geoenvironmental engineering",2801
1942,"bachelor of business administration (b.b.a.), bachelor of science major in logistics management",553
1946,"bachelor of science - bs, nursing education",1060
1947,jun 1998 - 2002,2624
1951,"bachelor’s degree, economics and management of financial institutions",1821
1952,"bachelor of science and business administration, management accounting",1083
1953,"bachelor of science (b.s.), management accounting",775
1954,"master's degree, chemical engineering",2880
1957,"master in accountancy, internal auditing",2705
1958,"accountancy, accounting and finance",217
1959,accounting technology,227
1963,"master's degree, master in public administration",2900
1965,"master of arts in psychology, industrial and organizational psychology",2743
1967,"master of psychology, major in industrial psychology",2816
1969,bachelor of business administration major in management,622
1970,"non-degree / global environmental issues, environmental studies",3008
1971,"bachelor's degree, consular and diplomatic affairs",1629
1972,"bachelor of science - bs, business administration major in human resource development management",970
1973,"master’s degree, organizational behavior studies",2954
1974,"bachelor’s degree, organizational behavior studies",1857
1975,"bachelor of science - bs, finance and financial management services",1011
1976,"bachelor’s degree, industrial engineering, minor in information technology",1834
1979,"b.s chemical engineering, chemical engineering",293
1981,"bachelor of science (b.s.), civil engineering",738
1983,"bachelor of science in business administration, human resource management",1183
1989,"science, technology, engineering and mathematics",3103
1991,"3 years technolgy course, industrial electronics technology",161
1992,"engineer's degree, industrial engineering",2443
1997,bachelor of science (bs) major in psychology,826
1998,"bachelor of science - bs, management of financial institutions",1050
2000,"bachelor of science in industrial management engineering minor in information technology, engineering/industrial management",1321
2004,"bachelor of arts degree, psychology",510
2012,"bachelor’s degree, bsba-human resource management",1797
2013,2009 - 2014,129
2015,1994 - 2006,49
2016,"associate's degree, logistics, materials, and supply chain management",272
2017,"bachelor's degree, logistics, materials, and supply chain management",1679
2019,"bachelor's degree, accounting technology",1546
2020,"bachelor of science (bs), accounting and business/management",831
2021,"secondary education, special science class",3119
2022,"primary education, with honors",3071
2026,"bachelor of science in commerce, banking and finance, accounting",1233
2028,"bachelor of arts, behavioral science",533
2032,2001 - 2012,90
2033,"bachelor's degree, petroleum engineering",1706
2035,"bsa, accountancy",2120
2037,bachelor of science in mechanical engineering,1372
2040,"bachelor of science in business administration (bsba), human resources management",1137
2041,"bs & ab, psychology",1895
2042,"mercadologo, marketing",2975
2043,"desarrollo de mercados internacionales, international bussiness",2337
2045,"bs accounting technology, accounting technology/technician and bookkeeping",1909
2051,"master’s degree, architecture major in urban design",2943
2052,"bachelor’s degree, civil engineering",1814
2053,electronics engineering,2420
2054,"bachelor of arts major in psychology, psychology",531
2056,"ms environmental engineering, environmental engineering",2988
2057,"bs, engineering; science and technology",2098
2058,"high school diploma, high school",2524
2060,"bs business administration, human resource development and management",1930
2062,"master's degree (pending), information technology",2867
2063,network and system administration/administrator,3004
2065,"bs tourism, tourism and travel services management",2081
2066,"bs entrepreneurship, business administration and management, general",1987
2067,"bachelor's degree, linguistics",1678
2068,"erasmus mundus mover mobility program, spanish language and literature",2453
2069,"non-degree language course, basic chinese (5 modules)",3009
2070,"non-degree language course, intermediate chinese (3 of 5 modules)",3010
2072,"bachelor of science in business administration major in human resource development management, human resources management/personnel administration, general",1158
2073,"bachelor's degree, legal management",1677
2075,"ba, organizational communication",353
2076,"bachelor of arts - ba, history",487
2081,cipd associate level 5 diploma,2274
2082,"bachelor of science, accounting",1424
2084,professional diploma in procurement and supply (level 6),3076
2085,"bachelor of arts (b.a.), anthropology",411
2086,"bachelor of science - bs, real estate management",1067
2088,"bachelor's degree, management accounting",1682
2092,"bachelor of science - bs, commerce major in management",985
2093,"master of science (msc), industrial and organizational psychology",2830
2094,"bachelor of science (b.sc.), psychology",812
2097,"bachelor of science in business administration, marketing management",1207
2099,"bachelor of business administration - bba, human resources management and services",605
2101,2004 - 2015,106
2103,bs industrial management engineering minor in information technology,2021
2106,"master of arts (ma), industrial and organizational psychology",2731
2109,"bachelor's degree, physics",1709
2114,"bachelor of science (b.s.), business administration major in human resources development management",728
2116,"highschool education, primary and secondary education",2562
2117,"elementary education, primary and secondary education",2434
2121,2003 - 2007,97
2122,"bachelor of science (bs), accountancy",829
2123,c.m,2210
2124,"bachelor of science, management accounting",1479
2125,"bachelor in office administration, office administration",387
2126,"master of engineering - meng, chemical engineering",2803
2128,"bachelor of science (b.s.), management of financial institution (known as banking and finance)",780
2129,2000 - 2005,82
2135,"master of arts - ma, psychology",2736
2142,"international hospitality management, hospitality administration/management",2613
2146,"master of education - med, aerospace, aeronautical and astronautical engineering",2802
2147,"bachelor of science - bs, aeronautical engineering",952
2148,"high school diploma, regular/general high school/secondary diploma program",2529
2152,bachelor of science in business administration major in export management,1151
2156,"bachelor of business administration - bba, human resource development management",602
2157,"bachelor of science (bsc), petroleum engineering",923
2160,"bachelor’s degree, business administration major in export management",1803
2161,"bachelor’s degree, mathematics with specialization in business application",1851
2163,"master’s degree, management",2949
2164,"bachelor’s degree, liberal arts and sciences/liberal studies",1841
2167,"high school diploma, business studies, economics",2521
2174,"ba, art studies (art history)",346
2175,"bs chemistry, chemistry",1941
2176,primary & secondary education,3066
2177,"bachelor of pharmacy - bpharm, pharmacy",709
2178,"bachelor of science in business administration, supply management",1214
2179,bs business administration and accountancy,1924
2182,"bachelor's degree, biology",1579
2183,"bachelor's degree, computer science in information technology",1622
2184,"bachelor of accountancy , accounting and business/management",395
2187,diploma in supply chain management,2366
2188,"bachelor of science in industrial engineering , bachelor of science in industrial engineering",1318
2189,"bachelors, bs psychology",1752
2190,"ab/bse, literature",212
2191,"master’s degree, literary and cultural studies",2948
2194,"bachelor of science in business administration, marketing/marketing management, general",1208
2196,"master of business administration (mba), gold medalist",2772
2197,bs management major in communications technology management,2039
2198,"diploma in applied project management, project management",2345
2200,"bs biochemistry, biochemistry",1919
2202,"bs psychology, ab guidance & counseling",2069
2203,"marketing, digital marketing",2698
2204,"bs information technology, information technology",2028
2205,computer engineering,2300
2206,ab - organizational communication,169
2211,"bachelor of science in business administration, finance and treasury management",1179
2214,"bachelor's degree, ab behavioral science",1536
2218,"master of business administration - mba, innovations management",2790
2223,2003 - 2013,100
2225,"diploma strategic human resource management, school of social sciences cord, human resources management",2374
2227,"bsba, financial management ",2148
2228,computer basics (unitech educational program corporation),2299
2231,"bachelor in advertising & public relations, commercial and advertising art",362
2232,"bachelor’s degree, ab behavioral science",1764
2235,"bachelor of science - bs, advertising",950
2236,2012 - 2016,137
2239,"accountancy, bachelor of science in accountancy",219
2243,european languages - spanish,2455
2245,"bachelor of science major in psychology, bachelor of science major in psychology",1419
2247,"bachelor of science (bs) major in purchasing and supply chain management, puchasing and supply chain management",827
2248,"bachelor’s degree, business administration major in marketing",1807
2249,"bachelor of science (b.s.), entrepreneurship/entrepreneurial studies",757
2251,"bs accountancy, accountancy",1901
2254,"bachelor of science - bs, b.s. in customs administration",960
2255,"bachelor of science (b.s.), business administration and management, general",725
2257,"master's degree, business analyst",2878
2258,"bachelor of electronics and communication engineering, electrical, electronics and communications engineering",659
2259,"bachelor’s degree, business administration major in human resource development management",1805
2260,"bs accountancy, accounting",1902
2261,"diploma in industrial relations, focus: philippine labor laws, hr research, training and development",2356
2267,1996 - 2006,60
2269,"bachelor of arts (b.a.), guidance and counseling",428
2270,"master of science - ms, manufacturing engineering",2841
2272,"bachelor of science - bs, human resources development management",1020
2276,"bachelor of science in business administration - financial managemenr, accounting and finance",1144
2279,"master's degree, ms family studies",2902
2280,human resources capital management,2579
2283,"bachelor of arts - ba, english language and literature, general",484
2287,"bs in business management, financial management",1998
2290,2005 - 2015,109
2291,bsba financial management,2127
2296,"high school , high school/secondary diplomas and certificates",2514
2297,"bachelor of science in commerce, major in business management, business management",1237
2301,"bachelor's degree, banking and finance",1575
2302,jun 2009 - apr 2013,2628
2303,"bachelor, psychology",1739
2304,bachelor of science in marketing management,1365
2305,ateneo de manila high school,279
2307,"ab- english , english language and literature, general",209
2309,capital markets specialist,2215
2310,"bachelor of engineering - be, materials engineering",683
2312,"bachelor's degree, ab- consular and diplomatic affairs ",1541
2316,"fire service, firefighting",2476
2317,"ics, incident command system - 100",2582
2318,"wmd, basic ems concepts for weapons of mass destruction incidents",3211
2319,"driver operator , technical operation manual and pneumatic",2403
2320,"emergency medical technician basic, emergency care attendant (emt ambulance)",2439
2321,"associate degree 3rd year, marine transportation",249
2322,1996 - 1999,57
2331,"bachelor of business administration (bba), marketing management",579
2332,"bachelor of science (bs), business administration- marketing management",848
2334,"bachelor of science, business administration and management, general",1434
2336,"bachelor's degree, behavioral sciences",1578
2337,"bsc - major in internal auditing, accounting and finance",2159
2339,"bachelor’s degree, human resource management",1828
2341,"bs applied economics - bs management of financial institutions, finance and economics",1912
2343,"bachelor of science in business administration, operations management",1211
2351,"bachelor of arts - ba, bachelor of arts in english",475
2352,"bachelor of science, accounting technology",1426
2355,"bachelor of science - bs, legal management",1038
2359,"bachelor’s degree, bachelor of science in psychology",1783
2361,"bs in commerce, financial and management accounting",2002
2366,"bachelor of arts (b.a.), organizational communication, general",441
2367,"bachelor of science (b.s.), management information systems",778
2368,2009 - 2009,126
2372,"master in business administration (mba), business administration and management, general",2708
2373,"bs business management-marketing, business, management, marketing, and related support services",1937
2374,"bachelor of science (b.s.), customs administration",747
2375,"bachelor of science (b.s.), accounting and business/management",719
2376,"bachelor of science (b.sc.), civil engineering",809
2377,"bachelor in banking and finance, bachelor in banking and finance",368
2378,"bs accountancy, business administration and management, general",1904
2381,"bachelor of applied science (b.a.sc.), electrical, electronics and communications engineering",398
2382,finance/accountancy/banking; accountancy,2471
2383,"b.s accountancy, accounting",291
2385,"master of arts - ma, industrial psychology",2734
2386,"ab behavioral science, psychology",173
2388,"bachelor of science - bs, biochemistry",963
2392,"bachelor of science in business administration, accounting and business/management",1169
2395,"master of business administration - mba, business",2780
2396,"ab - organizational communications, liberal arts and sciences/liberal studies",170
2399,bs in computer science,2003
2404,bachelor of science in business administration major in internal auditing,1162
2405,"bachelor of science in accountancy, accounting and related services",1107
2406,"master's degree, human resources management/personnel administration, general",2891
2407,"master of science in human resource management, human resources management/personnel administration, general",2848
2408,"ma in education, major in guidance and counseling",2665
2410,"bs applied mathematics, mathematical finance, mathematics",1916
2412,"business chinese level 8 (of 8), conversational chinese level 6 (of 8), 通用汉语课 + 商务汉语课",2201
2413,2013 - 2019,145
2414,international trade,2615
2417,"bachelor of arts - ba, film",486
2418,visual culture,3197
2421,"science, technology, engineering, and mathematics strand | general academics strand",3106
2422,"psychology, social sciences",3089
2423,"bachelor of science (bs), tourism",914
2424,"bachelor's degree, bsba major in business operations and management",1589
2425,"master of business administration (m.b.a.), accounting and business/management",2752
2427,"bachelor of business administration (b.b.a.), business administration major in marketing",557
2429,"bachelor of science major in psychology, psychology",1421
2430,"ma in psychology, counseling psychology",2666
2433,"bachelor of science, management of financial institutions",1483
2435,"bachelor of business administration - bsba, finance, general",616
2436,bachelor of science in applied economics,1125
2437,"bachelor's degree, bachelor of science in business administration major in management accounting",1562
2440,ab behavioral science,171
2442,"bachelor’s degree, business administration, major in marketing",1808
2443,"bachelor of science, business administration major in human resource management",1437
2444,"bachelor of science, biology",1431
2446,"minor in management, business administration and management, general",2981
2448,"bachelor of arts (b.a.), sociology",447
2450,"bsba of business administration major in marketing management, marketing",2143
2452,"bachelor of science - bs, advertising management",951
2454,"bachelor of business administration (bba), operations management with specialization track on business analytics",582
2455,"bachelor of science - bs, marketing/marketing management, general",1052
2459,"bachelor of science (bs), economics",864
2461,"bachelor of science (bs), management information systems, general",894
2463,"bachelor of science - bs in accountancy, accounting",938
2464,"bachelor of science - bs in management accounting, accounting and business/management",940
2465,"k-12 program, bookkeeping",2638
2466,"bs management accounting, accounting",2034
2467,"bachelor’s degree, business administration major in financial management",1804
2468,"bachelor of science - bs, human resources management/personnel administration, general",1021
2474,"bachelor's degree, business administration and accountancy",1595
2478,grade school and high school,2497
2481,"master of business administration - mba, marketing management",2792
2482,2013 - 2014,141
2483,"bsba, human resources development management",2151
2484,"bachelor of science in business administration and accountancy, accounting and business/management",1146
2487,"bachelor of science in business management, business administration and management",1218
2489,bachelor of arts in psychology,526
2497,"master's degree, technology management",2907
2501,"bachelor of business administration (b.b.a.), business, management, marketing, and related support services",559
2506,"bachelor of science (b.s.), materials engineering",786
