,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
5923,9368,business advisor to country chair ph / vp finance,1305,,,
5924,9369,global corporate cards programme lead,3924,,,
5925,9370,card relationship manager,1577,,,
5926,9373,head of operations and sales support,4221,,,
5927,9374,head of collections unit,4165,,,
5928,9376,operations officer of centralized cash servicing unit,7032,,,
5929,9377,deputy head of transport and inquiry section,2915,,,
5930,9378,"president, officership training program (otp) batch 85",7459,,,
5931,9379,global sourcing specialist,4016,,,
5932,9380,project lead – rpo managed services,7959,,,
5933,9384,pmo analyst,7387,,,
5934,9385,lead technical recruiter,6031,,,
5935,9388,email copywriter,3223,,,
5936,9389,payroll support advisor ,7256,,,
5937,9390,senior specialist/sme for payroll,9987,,,
5938,9391,contracting & procurement lead,2152,,,
5939,9392,procurement category manager,7625,,,
5940,9394,procurement supervisor,7662,Retail and Customer Service,Retail Pharmacy or Drugstore,720000.0
5941,9395,senior strategic staff,9991,,,
5942,9397,purchasing junior staff,8130,,,
5943,9399,ap team manager - accounting controls & analysis (americas & east),447,,,
5944,9400,ap team manager - canada upsteam business,448,,,
5945,9401,assistant team manager - manage hydrocarbon inventory,760,,,
5946,9402,specialist - manage hydrocarbon inventory,10572,,,
5947,9404,registered nurse,8584,,,
5948,9405,process team lead - workers compensation medical bill review - non-voice,7594,,,
5949,9406,trainer and quality compliance analyst - workers compensation medical bill review - non-voice,11847,,,
5950,9407,wc medical bill reviewer / certified quality analayst / knowledge transfer trainer - nonvoice,12221,,,
5951,9412,campaign manager / process specialist,1552,,,
5952,9413,campaign manager,1551,Nonprofits,Environmental Organization,2340000.0
5953,9414,bilingual team lead,1178,,,
5954,9415,bilingual specialist,1177,,,
5955,9416,call center manager,1545,Technology,Telecommunications,5400000.0
5956,9418,coach/team manager,1882,,,
5957,9422,process & training manager,7502,,,
5958,9423,help desk trainer,4325,,,
5959,9424,agent support group - hewlett-packard ipg,344,,,
5960,9425,technical support representative - netgear australia,11609,,,
5961,9426,technical support representative - at&t home networking,11606,,,
5962,9427,customer service associate - sam's club and walmart,2589,,,
5963,9428,"on-the-job trainee, quality assurance",6926,,,
5964,9429,deputy general manager,2898,Technology,Information Technology (IT) Services,2500000.0
5965,9432,process specialist - japanese bilingual resource,7586,,,
5966,9435,training lead,11872,,,
5967,9436,workforce manager,12333,,,
5968,9437,workforce management supervisor,12332,,,
5969,9439,client business analyst,1786,,,
5970,9444,senior software engineer ii,9936,,,
5971,9445,senior software engineer i,9935,,,
5972,9446,associate back-end software engineer,822,,,
5973,9447,senior programmer analyst,9814,Technology,Financial Services Software Development,2200000.0
5974,9449,junior consultant,5794,,,
5975,9450,junior developer,5800,,,
5976,9452,full stack developer,3827,,,
5977,9454,software development engineer 2,10385,,,
5978,9455,software developer ,10367,,,
5979,9457,associate software engineer (internship),927,,,
5980,9458,senior systems executive,10031,,,
5981,9459,technical consultant (software asset management),11471,,,
5982,9460,incident problem manager,5105,,,
5983,9461,global information technology service desk,3971,,,
5984,9462,adsl and fiber technical support,320,,,
5985,9464,senior process executive,9771,,,
5986,9465,bilingual bahasa indonesia customer service representative,1175,,,
5987,9466,bilingual bahasa indonesia content analyst,1174,,,
5988,9468,team manager - process excellence and transformation,11423,,,
5989,9470,problem manager,7497,,,
5990,9474,senior executive human resources,9478,,,
5991,9475,manager for healthcare account,6331,,,
5992,9476,assistant manager for healthcare process,676,,,
5993,9477,lead health care account,5989,,,
5994,9478,team supervisor sales acct,11439,,,
5995,9479,tier 2 escalation case team supervisor,11788,,,
5996,9480,team supervisor elite travel account,11438,,,
5997,9481,travel acct cust service supervisor,11936,,,
5998,9486,sales manager - sales team leader,8921,,,
5999,9488,deputy team leader,2932,,,
6000,9491,junior executive - talent acquisition ,5810,,,
6001,9492,us recruitment account manager,12040,,,
6002,9496,senior assistant vice president,9289,,,
6003,9497,business unit lead,1498,,,
6004,9499,realtime analyst,8312,,,
6005,9508,tech lead,11442,,,
6006,9509,senior system executive,10019,,,
6007,9510,system executive,11108,,,
6008,9511,student internship,10893,,,
6009,9519,sr. executive - talent acquisition group,10697,,,
6010,9520,recruitment and sourcing specialist,8398,,,
6011,9522,human resource assistant-recruitment,4883,,,
6012,9523,human resource assistant for recruitment,4882,,,
6013,9526,functional lead,3847,,,
6014,9527,senior systems engineer (helpdesk / knowledge management specialist),10029,,,
6015,9528,global helpdesk support,3950,,,
6016,9530,mrs. national globe 2022,6734,,,
6017,9532,mrs.philippines national universe 2019,6735,,,
6018,9533,practice assistant,7429,,,
6019,9534,virtual executive assistant,12157,,,
6020,9535,executive assistant to svp,3423,,,
6021,9536,program coordinator,7830,,,
6022,9537,employee engagement specialist,3240,,,
6023,9538,employee relations,3244,,,
6024,9539,general affairs executive assistant,3879,,,
6025,9540,jr. hr associate,5723,,,
6026,9542,apac senior talent acquisition,451,,,
6027,9543,global delivery centre (gdc manila) - hr and operations manager,3931,,,
6028,9547,senior hr officer,9538,,,
6029,9548,recuitment specialist,8499,,,
6030,9550,senior applications developer,9277,,,
6031,9553,team lead manager,11355,,,
6032,9555,senior software developer,9920,,,
6033,9559,team supervisor,11437,,,
6034,9563,financial management associate,3652,,,
6035,9564,resource coordinator,8724,,,
6036,9565,project financial analyst,7929,,,
6037,9568,web and applications developer / isms document controller,12225,,,
6038,9573,java developer trainee,5680,,,
6039,9575,sr. coordinator - recruitment,10687,,,
6040,9579,major incident manager,6239,,,
6041,9581,incident management controller,5099,,,
6042,9582,jr. executive - hr,5712,,,
6043,9583,senior human resources officer,9558,,,
6044,9590,service delivery manager for digital operations,10171,,,
6045,9591,digital producer,3010,Technology,Web Development,900000.0
6046,9593,project manager/instructional designer,8028,,,
6047,9594,senior trainer,10101,,,
6048,9595,dfp campaign manager,2974,,,
6049,9597,overnight campaign manager support/aol support,7162,,,
6050,9599,rich media developer,8796,,,
6051,9600,developer,2956,,,
6052,9607,mnager - tq,6704,,,
6053,9614,instructor / consultant,5241,,,
6054,9622,"team leader oic, quality analyst, process trainer",11392,,,
6055,9628,payments head supervisor,7232,,,
6056,9630,system analyst,11088,,,
6057,9632,senior system engineer,10016,,,
6058,9633,it voice engineer,5642,,,
6059,9637,service delivery manager,10159,Technology,Software Services,2770000.0
6060,9639,compliance and retention manager,2003,,,
6061,9640,opertations manager,7086,,,
6062,9642,assistant team leader/ advisor,757,,,
6063,9643,senior representative / resolutions expert,9880,,,
6064,9646,laboratory personnel trainee,5946,,,
6065,9647,assistant database officer,617,,,
6066,9648,erp lead - recruitment,3363,,,
6067,9649,senior coordinator - recruitment,9398,,,
6068,9651,process excellence manager,7552,,,
6069,9652,process improvement manager,7566,Finance and Insurance,Insurance and Financial Services,5400000.0
6070,9654,senior finance supervisor,9492,,,
6071,9656,franchise development specialist,3756,,,
6072,9659,customer service representative and document approver,2632,,,
6073,9661,fraud prevention associate,3772,,,
6074,9662,virtual executive assistant / senior process specialist ,12158,,,
6075,9663,team assistant and executive assistant to tribe leader,11311,,,
6076,9664,purchasing analyst,8118,,,
6077,9665,facilities coordinator,3493,Real Estate,Real Estate Property Management,35000.0
6078,9666,senior human resources coordinator,9553,,,
6079,9668,outlet supervisor,7160,,,
6080,9669,advanced resolution expert,330,,,
6081,9670,technical customer care representative ii,11481,,,
6082,9671,senior software engineer 1,9932,,,
6083,9672,csv developer,2443,,,
6084,9673,associate developer,836,,,
6085,9674,associate programmer,911,,,
6086,9675,software development analyst,10379,,,
6087,9680,recruitment and onboarding officer ,8394,,,
6088,9682,talent acquisition and management associate,11180,,,
6089,9690,retail support specialist,8766,,,
6090,9692,time and labor management analyst,11798,,,
6091,9693,operations team manager,7080,,,
6092,9696,network support associate,6806,,,
6093,9697,human development specialist for mathematics,4871,,,
6094,9698,front desk associate / admin,3804,,,
6095,9699,computer operator iv,2030,,,
6096,9703,hr associate - recruitment,4501,,,
6097,9707,senior manager - six sigma/ continuous improvement,9650,,,
6098,9708,six sigma blackbelt specialist and quality manager,10318,,,
6099,9709,regional (asia pacific) quality engineer,8509,,,
6100,9721,"manager, hr",6363,,,
6101,9722,"assistant manager, hr",693,,,
6102,9724,salesforce certified systems administrator ,8957,,,
6103,9725,it systems administrator (salesforce),5632,,,
6104,9728,manager - projects,6305,,,
6105,9729,data management engineering lead,2773,,,
6106,9730,manager for data specialists/data engineering,6329,,,
6107,9731,liii sys dba,6138,,,
6108,9732,data architect/systems administrator - supervisor,2736,,,
6109,9733,sr. developer,10690,,,
6110,9736,clients onboarding and accounts associate ( tsys / cayan llc ),1815,,,
6111,9737,ach / settlement operation (pivotal payments),252,,,
6112,9738,data entry analyst (pivotal payments),2756,,,
6113,9739,outbound agent,7153,,,
6114,9741,technology specialist,11695,,,
6115,9742,associate manager software engineer,888,,,
6116,9746,research and development engineer - domain lead,8677,,,
6117,9748,software engineer b,10419,,,
6118,9753,group manager,4092,,,
6119,9761,associate quality manager || mis ph geo,917,,,
6120,9762,associate quality manager,916,,,
6121,9766,financial sales associate ,3675,,,
6122,9767,customer care associate ,2466,,,
6123,9768,shift manager,10284,,,
6124,9773,customer service representative (training),2623,,,
6125,9777,writer,12352,Professional Services,Consulting,620000.0
6126,9781,hr apprentice,4465,,,
6127,9782,human resources internship,4977,,,
6128,9787,sr. software engineer 2,10767,,,
6129,9788,information technology head,5186,,,
6130,9790,head of information technology,4196,,,
6131,9791,network administrator,6770,Technology,Internet Service Provider (ISP),1012500.0
6132,9792,"project lead, exact software implementation",7962,,,
6133,9793,senior programmer,9812,,,
6134,9795,systems maintenance programmer,11153,,,
6135,9796,computer programmer/part-time college computer instructor,2034,,,
6136,9797,java software engineer,5686,,,
6137,9798,application systems engineer consultant,514,,,
6138,9799,junior system developer,5876,,,
6139,9800,system administrator/gis technician,11086,,,
6140,9801,cad operator,1528,,,
6141,9803,junior data analyst,5796,Retail and Customer Service,"e-Commerce, Business to Consumer (B2C)",400000.0
6142,9804,registered pharmacist,8585,,,
6143,9807,client management specialist,1796,,,
6144,9808,sales account executive,8854,Engineering and Sciences,Business Process Outsourcing,420000.0
6145,9809,account manager - renewals and retention (symantec .cloud) americas ,89,,,
6146,9811,technical account specialist ,11452,,,
6147,9813,senior sales consultant,9889,,,
6148,9816,customer service care specialist,2595,,,
6149,9818,associate - projects,816,,,
6150,9819,data integration consultant,2761,,,
6151,9822,customer service representative ii,2633,,,
6152,9823,agent trainer,345,,,
6153,9824,training administrative assistant,11851,,,
6154,9825,it poc,5555,,,
6155,9826,flex trainer,3719,,,
6156,9827,"customer service agent, technical i",2581,,,
6157,9830,assistant center manager,615,,,
6158,9833,staff registered nurse,10821,,,
6159,9837,voice coach / process trainer,12168,,,
6160,9838,contact center product trainer,2112,,,
6161,9839,contact center subject matter expert,2115,,,
6162,9840,helpdesk specialist,4334,,,
6163,9841,buddy,1293,,,
6164,9844,lead frontend web developer,5986,,,
6165,9845,user experience designer,12049,Technology,Information Technology (IT) Services,780000.0
6166,9848,software developer / intern,10371,,,
6167,9849,junior executive - talent acquisition,5809,,,
6168,9850,recruitment operations analyst,8457,,,
6169,9851,training specialist,11881,Professional Services,Legal Services,744000.0
6170,9856,senior process executive (usrn),9772,,,
6171,9857,senior staff nurse,9990,,,
6172,9862,site lead,10306,,,
6173,9863,admin and facilities assistant ,272,,,
6174,9864,executive assistant to chief executive officer,3422,,,
6175,9865,boutique manager / oic,1212,,,
6176,9867,cashier checker,1615,,,
6177,9869,application system engineer,510,,,
6178,9872,seniot qa engineer,10124,,,
6179,9873,senior qa engineer,9839,,,
6180,9874,mid qa engineer,6678,,,
6181,9875,mid quality assurance specialist,6679,,,
6182,9876,qa team lead,8156,,,
6183,9878,service delivery consultant,10145,,,
6184,9879,service delivery consultant ,10146,,,
6185,9881,senior recruiter,9855,Technology,Information Technology (IT) Services,1200000.0
6186,9882,associate lead developer,875,,,
