,Unnamed: 0,Job Title,role_code,Category,Industry,Average/Salary Per Year
0,0,software engineer,10394,Transportation and Warehousing,Offshore Supply Vessel Services,4380000.0
1,1,associate software engineer,926,Finance and Insurance,Investment Services,1105000.0
2,2,instrument engineer,5245,,,
3,3,sap hybris qa,9028,,,
4,4,test engineering associate,11756,,,
5,5,program control services associate,7829,,,
6,6,financial advisor,3627,Professional Services,Management Consulting,1200000.0
7,7,managing staffer,6407,,,
8,8,assistant managing editor,705,,,
9,10,merchandising intern,6649,,,
10,11,student intern,10891,,,
11,12,quality auditing specialist,8226,,,
12,13,supervisor,10936,,,
13,14,complaints and compliments,1999,,,
14,15,continuous improvement lead,2133,,,
15,16,global quality manager,3999,,,
16,17,release manager,8623,,,
17,18,new hire on-boarding trainer,6812,,,
18,19,global service desk,4006,,,
19,20,document administrator,3116,,,
20,21,project manager,7987,,,
21,22,account champion,53,,,
22,23,knowledge collection and transfer lead,5914,,,
23,24,service level owner,10212,,,
24,25,process owner,7577,,,
25,26,l1 technical support / sme / trainer / team lead assistant,5927,,,
26,27,tsr,11982,,,
27,29,systems application specialist,11142,,,
28,30,frontend developer / web designer intern,3822,,,
29,31,recruitment analyst,8382,,,
30,32,people and culture associate,7274,,,
31,33,college instructor,1922,,,
32,34,human resources assistant intern,4944,,,
33,35,programmer analyst iii,7872,,,
34,37,back end developer,1136,,,
35,40,android developer,432,,,
36,41,hr recruiting analyst,4700,,,
37,42,"hr associate, shared services",4507,,,
38,43,"hr assistant, shared services",4492,,,
39,44,recruitment associate,8405,,,
40,45,hr intern,4593,,,
41,46,technical recruiter,11520,Technology,Internet Gaming Website,900000.0
42,47,hr/ recruitment coordinator,4831,,,
43,48,field hr senior specialist,3554,,,
44,49,human resource business partner & recruitment specialist,4886,,,
45,50,hr analyst - resort hr business partner ,4454,,,
46,52,freelance software engineer,3792,,,
47,53,full stack engineer,3830,,,
48,55,web developer,12240,Technology,Business Management Software Development,960000.0
49,56,senior software engineer,9927,Engineering and Sciences,Computer or Network Security Services,2400000.0
50,59,teamlead,11440,,,
51,60,pmo,7382,,,
52,61,pmo senior analyst,7392,,,
53,62,pmo associate,7388,,,
54,64,claim consultant,1764,,,
55,65,back office employee,1137,,,
56,66,customer service advisor,2578,Professional Services,Marketing and Distribution Center,288000.0
57,67,sales administrator,8862,Wholesale Trade,"Household Appliances or Consumer Electronics, Wholesale",780000.0
58,68,customer relations officer - itsg,2570,,,
59,69,database administrator,2810,,,
60,70,customer care specialist,2474,Technology,Information Technology (IT) Systems Design or Integration,600000.0
61,71,team lead,11318,,,
62,72,sap vim/opentext consultant,9115,,,
63,73,material & spare parts engineer,6564,,,
64,74,fixed asset management accountant,3710,,,
65,75,recruitment lead,8440,,,
66,76,recruitment consultant,8421,Finance and Insurance,Financial Services,975000.0
67,78,recruitment sourcing lead,8477,,,
68,79,offer specialist,6860,,,
69,81,hr associate,4496,,,
70,82,intern,5289,,,
71,84,human resources supervisor,5033,,,
72,85,human resources assistant,4936,,,
73,86,recruiting senior analyst,8346,,,
74,87,talent acquisition supervisor - sourcing,11226,,,
75,88,recruitment sourcing - specialist,8473,,,
76,89,recruitment associate - sourcing,8413,,,
77,93,systems analyst (team lead),11130,,,
78,94,senior software engineer (quality capability),9930,,,
79,95,unit manager,12008,Education,Leadership Training and Development,3200000.0
80,96,team manager,11407,,,
81,97,transaction monitoring supervisor/coordinator,11892,,,
82,98,sqap,10651,,,
83,99,"senior associate, quality perform",9314,,,
84,100,floor leader,3722,,,
85,102,recruiting associate,8339,Technology,Information Technology (IT) Services,380000.0
86,103,project management office assistant,7979,,,
87,104,office admin - pcs,6864,,,
88,105,on the job trainee,6918,,,
89,106,test engineering analyst,11755,,,
90,109,internship trainee,5397,,,
91,110,recruiting analyst,8336,Energy and Utilities,Metal Ore Mining,412000.0
92,111,talent sourcing specialist,11268,,,
93,112,senior preboarding specialist,9761,,,
94,113,preboarding specialist,7445,,,
95,114,hr assistant (intern),4469,,,
96,115,hr operations intern,4643,,,
97,117,dev business analyst,2952,,,
98,119,it staff,5615,,,
99,122,admission attendant/ticket taker,318,,,
100,125,application support specialist,505,Finance and Insurance,Health Insurance,1200000.0
101,126,senior application support analyst,9274,,,
102,127,recruitment manager - technology,8445,,,
103,128,associate recruitment manager,919,,,
104,129,recruiting team lead,8350,,,
105,130,assistant manager - talent acquisition,665,,,
106,131,recruiter,8331,Professional Services,Travel and Hospitality Services,1560000.0
107,133,customer service representative,2619,,,
108,136,recruitment supervisor,8488,,,
109,137,talent acquisition specialist,11217,Engineering and Sciences,Engineering Services,528000.0
110,141,recruitment specialist,8480,,,
111,143,hr manager,4612,,,
112,144,customer service specialist,2643,Technology,Software Development,980000.0
113,145,sales coordinator,8895,Professional Services,Industrial Machinery and Equipment Repair and Maintenance,598000.0
114,149,internship,5390,,,
115,152,senior recruitment analyst,9862,,,
116,153,talent acquisition marketing (sourcing) specialist,11202,,,
117,154,recruitment sourcing associate,8474,,,
118,156,technical support representative,11599,Nonprofits,Religious Organization,720000.0
119,160,rpa engineer,8833,,,
120,162,quality assurance analyst,8182,Government,Government,800000.0
121,164,microsoft ips - showcase strategy lead,6666,,,
122,170,system implementation specialist,11109,,,
123,171,contact center implementation engineer,2111,,,
124,172,heating air conditioning service technician,4318,,,
125,174,hr service delivery new associate,4736,,,
126,177,qaqc administrator / engr. advisor,8163,,,
127,178,site civil engineer,10300,,,
128,179,recruiting senior analyst - campus strategic sourcing,8347,,,
129,180,recruiting analyst - campus strategic sourcing,8338,,,
130,182,human resources specialist,5022,,,
131,186,inbound retention specialist,5089,,,
132,188,registered psychometrician,8587,,,
133,189,technical support associate ii,11565,,,
134,190,recruitment and admin assistant,8390,,,
135,191,human resources administrative assistant,4929,,,
136,193,human resources officer,4995,,,
137,195,human resources coordinator,4962,,,
138,196,guidance counselor/hr staff,4124,,,
139,197,hr staff/guidance staff,4791,,,
140,199,purchasing assistant,8121,Construction,Real Estate Development,390000.0
141,200,warehouse operations intern,12212,,,
142,206,service crew,10141,,,
143,207,technology architecture manager,11656,,,
144,208,instructor,5239,,,
145,211,payroll benefits specialist,7243,,,
146,213,assistant preschool teacher,714,,,
147,214,application development associate,476,,,
148,217,subject matter expert,10906,,,
149,218,security and compliance officer,9186,,,
150,219,technical specialist,11547,Professional Services,Travel and Hospitality Services,800000.0
151,220,quality analyst,8172,Finance and Insurance,Insurance and Financial Services,788000.0
152,221,customer service analyst,2582,,,
153,222,intra-day operations analyst,5405,,,
154,223,workforce analyst,12321,,,
155,224,real time analyst,8307,,,
156,225,technical solutions specialist level 2 (service desk),11545,,,
157,226,technical solutions specialist,11542,,,
158,229,java developer,5677,Finance and Insurance,Insurance and Financial Services,2405000.0
159,233,java consultant,5676,,,
160,235,human resources business partner specialist,4957,,,
161,238,application specialist,499,,,
162,239,programmer/system analyst,7879,,,
163,240,team lead/programmer,11374,,,
164,241,corporate recruiter,2271,,,
165,242,human resources associate - onboarding and background check,4951,,,
166,243,data analyst,2709,Education,Education,1300000.0
167,245,java application developer,5673,,,
168,246,java fullstack application developer,5683,,,
169,248,application support specialist/java application developer,507,,,
170,250,recruitment admin assistant,8365,,,
171,254,advanced application engineering specialists,328,,,
172,255,senior software engineering,9941,,,
173,256,mobile developer / web developer,6710,,,
174,257,php developer,7338,Technology,Software Services,660000.0
175,261,coordinator,2194,,,
176,262,authorized coordinator for agilent technologies,1051,,,
177,263,technical sourcer,11546,Engineering and Sciences,Business Process Outsourcing,360000.0
178,264,senior recruitment associate,9863,,,
179,265,executive recruitment & candidate management,3447,,,
180,266,talent acquisition associate,11183,,,
181,270,project worker,8063,,,
182,271,frontend web developer,3823,,,
183,273,talent acquisition specialist - technical/ i.t. recruiter,11219,,,
184,274,recruitment generalist,8436,,,
185,275,processor/recruitment analyst,7606,,,
186,276,recruitment assistant,8400,,,
187,278,software test engineer,10470,,,
188,280,product engineering intern,7699,,,
189,282,asp. net developer specialist,585,,,
190,284,hr recruitment associate,4707,,,
191,285,hr administrator,4397,,,
192,287,sales executive,8905,Technology,Information Technology (IT) Systems Design or Integration,864000.0
193,290,human resource officer,4900,,,
194,291,human resource assistant,4877,,,
195,292,human resources intern,4976,,,
196,293,recruitment operations service delivery leader,8460,,,
197,294,"assistant vice president, talent acquisition",803,,,
198,295,human resource - recruitment,4873,,,
199,296,talent acquisition director,11192,Energy and Utilities,Water Utilities,1450000.0
200,297,senior recruitment manager,9869,,,
201,298,recruitment manager,8444,Professional Services,Law Firm,1920000.0
202,299,senior recruitment officer,9870,,,
203,300,sourcing officer & employee programs officer-in-charge,10525,,,
204,302,sales associate,8887,Finance and Insurance,Life Insurance,1200000.0
205,304,talent acquisition officer,11203,,,
206,305,talent acquisition lead,11198,,,
207,307,senior talent acquisition consultant,10035,,,
208,308,u.s. senior technical recruiter level iv,11991,,,
209,310,customer experience consultant,2503,,,
210,312,electronic engineer,3217,,,
211,313,hr learning and talent development consultant,4609,,,
212,314,account management solutions architect,83,,,
213,315,procure to pay analyst,7609,,,
214,317,billing and collections officer,1188,,,
215,319,procurement assistant,7620,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",766000.0
216,320,it project assistant,5562,,,
217,323,software quality assurance intern,10459,,,
218,324,hr business partner specialist,4535,,,
219,325,field hr senior analyst,3553,,,
220,326,senior human resources generalist,9554,,,
221,327,hr generalist,4582,,,
222,332,summer internship,10928,,,
223,333,location wp engineering manager,6173,,,
224,334,sr. facilities manager,10699,,,
225,335,"facilities engineer, ifm - deutsche bank account",3495,,,
226,336,facilities manager,3498,Health Care,Specialty Hospital,1200000.0
227,337,assistant operations manager,711,Transportation and Warehousing,Transportation,741000.0
228,338,building administrator,1301,,,
229,339,facilities engineer,3494,Education,Education,500000.0
230,340,facilities lead,3496,,,
231,341,property engineer,8073,,,
232,342,qa controller,8147,,,
233,343,cadet engineer,1533,,,
234,344,people advisor associate manager,7272,,,
235,346,it recruitment consultant / business development,5571,,,
236,347,hr business partner and abs hr service desk lead,4528,,,
237,348,hr and admin assistant,4458,,,
238,349,manager,6283,,,
239,350,associate manager,880,,,
240,351,"team lead, learning and development",11367,,,
241,352,senior program specialist - talent and development,9809,,,
242,353,instructional designer,5238,Finance and Insurance,Financial Services,840000.0
243,354,communication and culture trainer,1949,,,
244,355,"faculty member, english area",3528,,,
245,356,hr-assistant,4826,,,
246,357,human resources associate,4948,,,
247,361,project officer,8033,,,
248,362,recruitment officer,8452,,,
249,363,talent acquisition associate (vendor management),11186,,,
250,364,sourcing associate,10513,Professional Services,Management Consulting,330000.0
251,365,recruitment,8351,,,
252,366,senior manager,9630,,,
253,367,service delivery lead,10154,,,
254,368,clinical quality lead,1827,,,
255,369,clinical operations manager,1822,Government,Public Health Department,8880000.0
256,370,quality assurance arch associate manager,8190,,,
257,371,clinical quality auditor,1826,,,
258,372,intensive care unit nurse,5268,,,
259,373,staff / charge nurse,10808,,,
260,374,medical assistant,6610,Health Care,Hospital,250000.0
261,378,systems analyst,11129,Professional Services,Travel Agency,1100000.0
262,379,senior associate it specialists,9308,,,
263,380,test automation engineering analyst,11748,,,
264,381,test automation engineer associate,11747,,,
265,382,hypercare support - infrastructure services for accenture,5043,,,
266,384,technical support specialist,11623,Professional Services,Technical Support Services,695000.0
267,385,quality control engineer,8234,,,
268,386,associate team lead | otc,943,,,
269,387,business process specialization analyst | otc,1459,,,
270,388,senior accounts receivable analyst,9228,,,
271,389,accounting assistant,140,Finance and Insurance,Property and Casualty Insurance,660000.0
272,393,software engineer trainee,10431,,,
273,394,on-the-job trainee,6921,,,
274,398,data specialist,2802,,,
275,399,project management executive,7976,,,
276,400,marketing assistant,6474,Engineering and Sciences,Business Process Outsourcing,380000.0
277,401,production engineer,7763,Manufacturing,Food Manufacturing,300000.0
278,402,aftersales - auto mechanic,341,,,
279,405,startup project engineer,10829,,,
280,406,"electronics engineering, industrial automation and control specialization (philippines)",3219,,,
281,407,"participant, community and technological (commtech) camp highlight 2018, sub course c (indonesia)",7205,,,
282,408,"delegate, 7th ningbo international students’ festival 2018 (china)",2844,,,
283,409,professional freelancer,7809,,,
284,410,exchange student (south korea),3408,,,
285,411,"delegate, student leadership conference 2017 (philippines)",2845,,,
286,412,recruitment senior analyst,8466,,,
287,414,associate,811,,,
288,418,recruitment associate manager,8415,,,
289,419,hr recruitment specialist,4715,,,
290,423,hr service delivery ,4732,,,
291,424,administrative assistant,293,Wholesale Trade,"Fast-moving Consumer Goods, Wholesale",1100000.0
292,425,administrative support,310,,,
293,426,recruiting associate manager,8340,,,
294,428,offshore talent acquisition manager,6897,,,
295,430,senior recruiter and talent development specialist (assistant manager role),9858,,,
296,431,senior hr officer ii (senior lead recruiter),9539,,,
297,432,senior recruitment officer (corporate recruitment),9871,,,
298,433,senior recruitment consultant,9865,Media and Publishing,Media Network,636000.0
299,434,hr and recruitment officer,4464,,,
300,435,senior recruitment consultant (executive search),9866,,,
301,436,lead recruiter,6003,,,
302,437,customer service associate,2588,Health Care,Health Care,444000.0
303,438,recruiting lead,8341,,,
304,439,associate talent acquisition manager,940,,,
305,440,hr operations lead,4644,,,
306,441,talent acquisition supervisor - recruiting,11225,,,
307,442,hr recruiting specialist,4701,,,
308,443,hr support office - recruiter,4799,,,
309,447,talent acquisition supervisor,11224,,,
310,448,senior recruitment specialist,9874,,,
311,449,hr assistant ii,4487,,,
312,450,career planning analyst,1587,,,
313,451,human resources services specialist,5020,,,
314,454,human resources assistant-timekeeping,4947,,,
315,455,human resources generalist,4972,,,
316,456,program and project control services associate,7823,,,
317,457,head of operations,4218,,,
318,459,recruitment coordinator,8425,,,
319,460,consultant,2058,,,
320,461,operations support analyst,7061,,,
321,464,hr assistant,4467,,,
322,465,medical records reviewer,6621,,,
323,466,escalation data analyst ,3364,,,
324,467,hr business partner,4516,,,
325,470,management trainee,6268,,,
326,471,people operations officer,7278,,,
327,477,software developer,10366,Transportation and Warehousing,"Shipping, Transportation, Warehousing, or Logistics",1952000.0
328,479,programmer analyst,7867,Finance and Insurance,Banking,900000.0
329,480,software quality assurance,10455,,,
330,481,o&b event,6851,,,
331,482,team leader,11375,,,
332,483,transaction processing analyst,11894,,,
333,484,eps payment support specialist,3352,,,
334,485,transaction processing associate,11895,,,
335,486,network provisioner,6799,,,
336,487,receipt technician - email support representative,8315,,,
337,488,data/contract analyst,2809,,,
338,494,marketing intern,6501,,,
339,495,staff member (on-the-job training),10818,,,
340,498,account officer,97,,,
341,500,hr specialist - recruitment & allocation team,4772,,,
342,506,application development senior analyst,482,,,
343,507,service consultant,10140,,,
344,508,it consultant,5490,,,
345,509,application developer analyst,467,,,
346,510,graphic designer,4078,Technology,Information Technology (IT) Value Added Reseller (VAR),2000000.0
347,511,graphic design intern,4076,,,
348,516,advanced application engineering analyst,327,,,
349,517,jr. software engineer,5738,,,
350,518,front-end web developer intern,3818,,,
351,519,summer youth intern,10931,,,
352,524,quality engineering associate,8246,,,
353,525,project engineer,7922,Energy and Utilities,Gold Ore Mining,2900000.0
354,526,broadcast engineer trainee,1281,,,
355,528,senior collections specialist,9380,,,
356,532,strategic support group - intern,10867,,,
357,535,sales development representative,8898,,,
358,537,customer support associate,2672,,,
359,538,seasonal sales associate,9162,,,
360,543,case manager,1600,Finance and Insurance,Banking,552000.0
361,544,employee experience associate,3243,,,
362,548,service desk analyst,10183,Professional Services,Law Firm,600000.0
363,552,field hr manager,3551,,,
364,553,field hr associate manager,3548,,,
365,554,field hr specialist,3555,,,
366,555,senior analyst for human resources,9251,,,
367,556,people advisor analyst,7271,,,
368,557,independent consultant for recruitment,5109,,,
369,558,application development associate manager,478,,,
370,559,application development team lead,484,,,
371,560,solutions analyst,10481,,,
372,561,software engineering senior analyst,10443,,,
373,562,software engineering analyst,10436,,,
374,563,software engineering associate,10438,,,
375,565,insight analytics intern,5232,,,
376,567,pastry assistant,7224,,,
377,568,application development analyst,471,,,
378,574,hr specialist for gc sourcing hub,4775,,,
379,575,hr specialist,4764,,,
380,576,avanade hr recruitment team senior analyst,1072,,,
381,578,el tech recruiter,3200,,,
382,579,recruitment - sourcing,8359,,,
383,581,data analyst / technical coach,2718,,,
384,583,associate consultant,829,,,
385,584,research associate,8688,,,
386,585,search associate,9159,,,
387,586,sourcing specialist,10531,,,
388,588,hardware (mechanical) design engineer,4132,,,
389,589,associate hardware (mechanical) design engineer,866,,,
390,590,plant manager,7370,,,
391,591,technical assistant,11464,,,
392,593,research assistant and tutor,8686,,,
393,594,web developer and marketing associate ,12247,,,
394,595,assistant secretary,732,,,
395,596,technical support engineer,11570,Manufacturing,"Telecommunication, Computer, and Electronic Product Manufacturing",2200000.0
396,597,accenture advanced technology centers in the philippines (atcp) lead ,42,,,
397,598,"senior managing director - global artificial intelligence capability lead, accenture technology ",9693,,,
398,599,"senior managing director – accenture technology, global application services lead for communications",9694,,,
399,603,appointment setter,532,,,
400,604,inbound customer service representative / tech support,5086,,,
401,606,copywriter intern,2200,,,
402,609,quality assurance intern,8203,,,
403,610,talent management and engagement lead for technology,11248,,,
404,612,hr business partner sr. analyst,4536,,,
405,613,hr business partner analyst,4527,,,
406,614,assistant manager human resources,681,,,
407,617,business analyst,1307,,,
408,620,quality engineering senior analyst ,8247,,,
409,623,recruitment supervisor - accenture operations,8489,,,
410,624,recruitment analyst - accenture operations,8383,,,
411,625,recruitment associate - accenture operations,8410,,,
412,626,recruitment associate - corporate recruitment,8411,,,
413,627,sourcing assistant - corporate recruitment,10512,,,
414,632,hr service delivery associate,4734,,,
415,633,hr sourcing associate,4762,,,
416,644,application developer,463,Engineering and Sciences,Computer Hardware and Software Design,1403049.0
417,650,onsite support,6951,,,
418,652,it operations associate,5551,,,
419,653,recruiting specialist,8349,Finance and Insurance,Banking,580726.0
420,654,human resources partner,4999,,,
421,657,marketing and business development manager,6462,,,
422,658,oic/ operations and sales,6906,,,
423,659,operations manager,7013,Professional Services,Drafting Services,7200000.0
424,660,senior systems specialist,10032,,,
425,661,owner/propreitor,7168,,,
426,662,systems developer,11143,Finance and Insurance,Financial Services,1266000.0
427,663,information technology officer,5193,Government,Local Government,1200000.0
428,664,instructor in mathematics,5244,,,
429,665,cmt lead,1861,,,
430,669,consultant - it services,2061,,,
431,672,staffing specialist,10825,,,
432,673,sourcing assistant,10511,,,
433,675,software engineer analyst,10416,,,
434,677,reports analyst,8656,Technology,Information Technology (IT) Services,690000.0
435,678,web designer,12238,Retail and Customer Service,"Cosmetics, Beauty Supplies or Perfume Store",552000.0
436,681,full stack software developer,3833,Finance and Insurance,"Mortgage Lending, Loans, or Credit Products",1344600.0
437,684,quality assurance analyst - business transformation,8183,,,
438,685,program and project management associate,7825,,,
439,686,technology risk consultant,11692,,,
440,688,senior recruitment coordinator - korn ferry rpo,9868,,,
441,689,senior recruitment coordinator,9867,,,
442,691,recruitment coordinator - korn ferry rpo,8427,,,
443,692,hr executive,4577,,,
444,694,hr and admin officer,4460,,,
445,696,web advisor,12223,,,
446,697,import logistics assistant,5077,,,
447,699,academic researcher and writer ,39,,,
448,701,training & onboarding assistant,11850,,,
449,702,training assistant,11861,Finance and Insurance,Insurance and Financial Services,276000.0
450,705,talent supply demand analyst,11272,,,
451,710,engineering instructor,3307,,,
452,714,senior analyst programmer,9256,,,
453,715,analyst programmer,409,,,
454,716,associate analyst programmer,819,,,
455,717,microsoft student partner,6669,,,
456,721,hr recruitment intern,4709,,,
457,724,recruitment new associate,8451,,,
458,726,data entry clerk,2757,Finance and Insurance,Financial Services,364000.0
459,728,human resources analyst,4934,Media and Publishing,Business Information Services,624000.0
460,731,programmer systems analyst 1,7874,,,
461,735,senior preboarding coordinator,9760,,,
462,736,talent advisor,11232,,,
463,737,office assistant- recruitment,6869,,,
464,738,human resources recruiter,5004,,,
465,739,flight attendant,3720,Transportation and Warehousing,Airline or Aviation Fixed-Base Operator (FBO),900000.0
466,740,cva recruitment associate - business development,2685,,,
467,746,hr recruitment supervisor,4716,,,
468,747,hr & sales coordinator,4374,,,
469,748,human resource administrator,4874,,,
470,749,hr practitioner,4663,,,
471,750,software engineering team lead,10445,,,
472,751,technical specialist - rpa,11549,,,
473,755,human resource supervisor,4908,,,
474,764,python developer,8141,,,
475,766,sourcing recruiting senior analyst,10530,,,
476,767,sourcing recruiting analyst ,10528,,,
477,768,sourcing recruiting associate,10529,,,
478,771,hr supervisor,4792,,,
479,772,hr assistant manager,4489,,,
480,773,sr. human resources officer,10709,,,
481,777,parts handler assistant - order expediting,7216,,,
482,778,parts management trainee,7217,,,
483,779,hr assistant -legal,4483,,,
484,780,operations planning and control analyst,7039,,,
485,781,industrial engineer intern,5124,,,
486,782,web and digital analytic intern,12226,,,
487,783,office clerk (spes),6871,,,
488,785,measurement and reporting associate,6588,,,
489,786,transaction processing new associate,11899,,,
490,788,bms engineer,1203,,,
491,790,trainee,11839,,,
492,792,recruiting operations team lead,8345,,,
493,793,japanese and multilingual recruiting specialist,5670,,,
494,794,strategic sourcing senior analyst,10863,,,
495,795,strategic sourcing analyst,10859,,,
496,796,corporate social responsibility coordinator,2285,,,
497,797,program and project management analyst,7824,,,
498,798,software engineer associate,10418,,,
499,799,senior xml layout editor,10122,,,
500,800,associate software engineering,933,,,
501,801,software engineer intern,10424,,,
502,806,hr senior analyst,4725,,,
503,807,hr service delivery analyst,4733,,,
504,808,hr shared sevices - hr analyst,4755,,,
505,809,finance & admin business analyst,3574,,,
506,810,hr senior service associate,4730,,,
507,813,business process delivery associate,1448,,,
508,814,online english instructor ,6941,,,
509,815,recruitment intern,8438,,,
510,816,legal office intern,6111,,,
511,818,admin intern ,277,,,
512,823,hr team lead,4808,,,
513,824,hr coordinator,4559,,,
514,826,verifications specialist,12083,,,
515,828,human resources - business partner manager,4919,,,
516,829,human resources - business partner associate manager,4918,,,
517,830,human resources - learning & leadership development associate manager,4922,,,
518,831,human resources - learning & leadership development consultant,4923,,,
519,832,business shared services team lead,1467,,,
520,833,technical support senior analyst,11618,,,
521,834,financial sales associate,3674,,,
522,837,trainer,11846,Engineering and Sciences,Business Process Outsourcing,312000.0
523,838,performance coach,7284,,,
524,839,frontline associate,3824,,,
525,840,trusted advisor,11980,,,
526,841,associate application developer,820,,,
527,842,president,7452,Technology,Information Technology (IT) Services,9500000.0
528,843,treasurer,11949,Energy and Utilities,Energy or Utilities,4285714.0
529,845,intermediate technology analyst,5288,,,
530,846,engineer/designer,3301,,,
531,849,it officer,5545,,,
532,851,erp associate administrator,3361,,,
533,855,full-stack developer,3836,,,
534,857,freelance,3778,,,
535,858,development intern,2964,,,
536,860,research and development intern,8678,,,
537,861,certified dear world storyteller,1661,,,
538,862,human resource transitions manager,4912,,,
539,863,human resource associate manager,4885,,,
540,864,human resource specialist,4904,,,
541,865,test engineering team lead,11758,,,
542,869,hr recruitment assistant,4704,,,
543,871,session staff,10257,,,
544,877,software development manager,10387,Finance and Insurance,Financial Services,2600000.0
545,878,senior developer,9446,,,
546,879,robotics engineer,8817,,,
547,880,process automation engineer,7524,Manufacturing,Automation Original Equipment Manufacturing (OEM),600000.0
548,881,rapid application developer(manager),8299,,,
549,882,rapid application developer,8298,,,
550,883,sr. software engineer,10766,,,
551,884,analytics specialist,430,Technology,Telecommunications,812000.0
552,886,freelance computer programmer / web developer,3782,,,
553,887,.net developer,17,,,
554,889,computer programmer / web developer,2032,,,
555,890,junior software developer,5868,,,
556,891,php - web developer,7337,,,
557,892,senior human resources analyst,9548,,,
558,894,human resources business partner,4956,,,
559,895,talent acquisition coordinator - corporate hiring,11190,,,
560,898,recruiting new associate,8344,,,
561,899,preschool teacher / office admin,7451,,,
562,902,servicenow consultant,10246,,,
563,903,servicenow developer,10247,,,
564,904,senior sharepoint consultant,9912,,,
565,905,servicenow developer / administrator,10248,,,
566,906,senior sharepoint consultant | sitecore developer,9913,,,
567,907,sharepoint consultant,10272,,,
568,908,sharepoint developer,10273,Technology,Information Technology (IT) Services,1383153.0
569,909,junior consultant - managed services,5795,,,
570,911,engagement coordinator/advisory consultant,3271,,,
571,912,hr specialist iii - us recruiter,4778,,,
572,913,talent acquisition intern,11197,,,
573,916,software quality assurance tester intern,10462,,,
574,917,web developer intern ,12249,,,
575,918,associate test engineer,947,,,
576,919,summer intern,10924,,,
577,921,college lecturer,1924,,,
578,922,candidate marketing - campus lead for accenture technology,1553,,,
579,923,project manager - marketing and industry affairs,7994,,,
580,924,accounts and project lead,194,,,
581,925,program manager,7848,,,
582,926,senior program associate ,9806,,,
583,927,program associate,7828,,,
584,928,recruitment - sourcing delivery associate manager,8360,,,
585,929,recruitment - sourcing planning lead,8361,,,
586,933,deployment manager,2893,,,
587,934,mobilization lead,6718,,,
588,935,quality lead - health bpo,8254,,,
589,936,quality lead - utilities bpo,8255,,,
590,938,senior quality specialist,9850,,,
591,941,computer engineering intern,2025,,,
592,942,test automation intern,11749,,,
593,943,human resources consultant,4960,,,
594,944,training and development specialist,11856,,,
595,945,account manager solution architect,92,,,
596,946,training consultant,11866,Professional Services,Recruiting or Staffing,735000.0
597,947,credit collections specialist,2391,,,
598,948,fraud consultant,3765,,,
599,949,intensive care unit and medical surgical,5267,,,
600,959,online business entrepreneur,6936,,,
601,961,research and development engineer,8676,Manufacturing,Manufacturing,637000.0
602,963,hr - talent acquisition,4377,,,
603,971,clinical internship - group dynamics facilitator,1821,,,
604,972,educational internship - guidance and counseling,3195,,,
605,976,recruiting analyst (recruiter),8337,,,
606,979,talent acquisition coordinator,11189,Manufacturing,Solar Photovoltaics (PV) Manufacturing,456000.0
607,983,graduate recruitment coordinator,4069,,,
608,986,crossborder returns analyst,2425,,,
609,989,sevice delivery ops senior analyst,10264,,,
610,993,market operations intern,6441,,,
611,995,senior manager human resources - sourcing and job fair recruitment,9663,,,
612,996,human resources manager - sourcing,4990,,,
613,997,human resources assistant manager - sourcing,4945,,,
614,998,human resources - sourcing supervisor,4925,,,
615,999,"human resources - sourcing, associate",4926,,,
616,1000,quality assurance coordinator,8195,,,
617,1003,hr benefits lead,4513,,,
618,1006,hr supervisor - compensation and benefits,4794,,,
619,1007,hr officer,4627,,,
620,1009,officer clerk / sales department,6879,,,
621,1010,front-end | wordpress developer,3819,,,
622,1012,wordpress developer,12308,,,
623,1013,web development specialist,12253,,,
624,1014,front-end developer,3814,,,
625,1015,computer instructor,2027,,,
626,1016,area leader,555,,,
627,1017,executive assistant,3418,Nonprofits,Coalition for Non-Profit Organization,2000000.0
628,1018,call center representative,1546,Professional Services,Telemarketing,912000.0
629,1021,human resources officer - talent acquisiton,4998,,,
630,1022,fulltime mba student,3843,,,
631,1023,hr operation administrator,4637,,,
632,1024,hr generalist for recruitment and communications,4585,,,
633,1027,system software engineer,11115,,,
634,1029,ui ux designer,11995,,,
635,1030,junior architect,5756,,,
636,1032,architectural intern,543,Professional Services,Project Management Consulting,240000.0
637,1034,jr. software developer intern,5737,,,
638,1038,tutor,11989,Education,Tutoring,152.0
639,1039,sourcing specialist ii,10538,,,
640,1041,voluntary work,12170,,,
641,1042,professional development,7807,,,
642,1043,guidance office intern,4125,,,
643,1044,clinical psychology intern,1825,,,
644,1049,information technology intern,5192,,,
645,1051,qa tester,8158,,,
646,1052,software qa tester (for globe telecom),10453,,,
647,1053,software qa tester,10452,,,
648,1054,database gatekeeper,2818,,,
649,1055,software tester,10473,Finance and Insurance,Banking,615000.0
650,1058,ph recruitment sourcing associate - adi and domestic towers,7306,,,
651,1059,offers specialist,6863,,,
652,1063,management information system assistant,6259,,,
653,1064,social media contributor,10345,,,
654,1065,technical support intern,11594,,,
655,1072,"entity leader, operations & corporate functions recruitment sourcing",3338,,,
656,1073,indoor cycling instructor,5119,,,
657,1074,human resources and recruitment,4935,,,
658,1075,senior sourcing manager,9958,,,
659,1076,recruitment and sourcing manager,8397,,,
