,skill,skill_code
582,jcl,3282
584,psychology,4976
586,human resources information systems (hris),2851
589,pivot tables,4617
591,amazon ecs,240
592,aws cloudformation,488
593,linux system administration,3554
594,windows system administration,6857
596,cygwin,1551
597,ec2,1874
598,bash,558
600,it infrastructure operations,3203
601,cloud security,1069
602,jenkins,3290
603,github,2537
605,cloud infrastructure,1066
606,devops,1738
607,computer network operations,1201
609,technical documentation,6291
610,workforce planning,6901
611,sla,5760
612,real time monitoring,5105
615,help desk support,2706
616,computer hardware,1191
617,computer repair,1205
619,computer maintenance,1200
622,hardware,2658
631,spring framework,5943
632,jsp,3327
634,xml,6939
635,hibernate,2710
637,sdlc,5602
641,web services,6788
642,struts,6089
643,servlets,5699
644,spring,5939
645,adobe experience manager (aem),150
647,ajax,221
652,object-oriented programming (oop),4173
653,visual basic,6698
654,.net,9
655,vbscript,6634
664,model-view-controller (mvc),3953
665,pega rpa,4505
676,unit testing,6555
677,soap,5787
678,soapui,5788
680,restful webservices,5231
683,junit,3331
685,jest,3291
687,rest api,5225
689,servicenow,5695
690,data integration,1596
694,ionic framework,3149
695,php frameworks,4597
697,web applications,6769
699,web development,6780
705,json,3324
707,tortoise svn,6428
710,yii,6956
715,it recruitment,3212
716,candidate management,856
717,scheduling,5579
718,contract management,1307
719,executive management,2196
723,executive search,2201
724,boolean searching,675
725,technical recruitment,6301
726,recruitment coordinator,5125
727,recruitment scheduling,5130
728,executive recruitment,2198
733,web design,6777
735,application development,334
737,mobile applications,3930
746,blockchain,646
763,internet recruiting,3093
764,background checks,522
768,hris,2816
773,ltspice,3607
774,integrated circuit design,3033
781,j2ee application development,3244
783,vb.net,6625
784,oracle pl/sql development,4345
798,telemarketing,6340
800,advertising,179
804,adp reportsmith,168
806,information security management system (isms),2985
823,coaching,1080
825,performance appraisal,4524
826,business process outsourcing (bpo),792
849,cisco routers,998
854,network operations center (noc),4088
857,database administration,1632
859,adobe xd,165
860,ccna,917
863,operational excellence,4282
866,building effective relationships,729
869,quality control,5030
870,people development,4512
871,people-oriented,4515
872,defined contribution,1687
881,employee learning & development,1992
883,sap materials management user,5495
884,sap hana cloud platform,5470
885,versed in product standardization (unspsc),6664
888,nodejs,4138
891,knowledgeable in sap s4 hana,3400
892,good command in english,2563
893,ability to learn new things easily and adapt new practices,54
894,responsible and trustworthy,5220
895,xsjs,6947
896,sapui5,5553
897,agile project management,200
899,software engineer,5832
